,gameID,bestMatchCondition,nMatched,bestMatchF1Mean,built_both
0,0403-00b72085-5f9c-4337-bec4-04dd488251fa,build,3.0,0.9583333333333334,True
1,0403-00b72085-5f9c-4337-bec4-04dd488251fa,view,3.0,0.7916666666666666,True
2,0559-000a48f8-3af5-4489-a83b-7158b6fc5fb9,build,2.0,0.8125,True
3,0559-000a48f8-3af5-4489-a83b-7158b6fc5fb9,view,2.0,0.8125,True
4,0617-9ddb7997-5774-4c33-849a-ab70289df180,build,0.0,,False
5,0617-9ddb7997-5774-4c33-849a-ab70289df180,view,2.0,0.96875,False
6,0821-da9c2fa8-8329-425d-8259-d2bac1ab398e,build,2.0,1.0,True
7,0821-da9c2fa8-8329-425d-8259-d2bac1ab398e,view,3.0,0.9375,True
8,0837-7dc8f2c1-c6df-400c-ae2f-2174ffd0ffb1,build,3.0,0.7083333333333334,True
9,0837-7dc8f2c1-c6df-400c-ae2f-2174ffd0ffb1,view,3.0,0.8125,True
10,0906-c7df6e7c-dbee-4ad8-9dc4-146e043ac321,build,2.0,0.6875,True
11,0906-c7df6e7c-dbee-4ad8-9dc4-146e043ac321,view,2.0,1.0,True
12,1203-5578863b-0366-422e-96f5-82f16138217f,build,1.0,0.875,True
13,1203-5578863b-0366-422e-96f5-82f16138217f,view,3.0,1.0,True
14,1510-718bfa55-e1e6-4fc6-884b-cf040464e4e4,build,2.0,0.71875,True
15,1510-718bfa55-e1e6-4fc6-884b-cf040464e4e4,view,1.0,0.9375,True
16,1566-41c08046-61e8-4354-936f-97f488becf81,build,0.0,,False
17,1566-41c08046-61e8-4354-936f-97f488becf81,view,3.0,1.0,False
18,1708-3959e0a4-2a57-446e-af68-ed65c890f8c5,build,3.0,0.8333333333333334,True
19,1708-3959e0a4-2a57-446e-af68-ed65c890f8c5,view,3.0,0.875,True
20,1995-78ea939b-e6f3-4652-8da9-a24a7f23aff6,build,2.0,0.8125,True
21,1995-78ea939b-e6f3-4652-8da9-a24a7f23aff6,view,2.0,0.75,True
22,2149-9f29790e-0346-41b9-923e-0fe3ab918514,build,1.0,1.0,True
23,2149-9f29790e-0346-41b9-923e-0fe3ab918514,view,2.0,1.0,True
24,2292-aca8604c-6823-4b21-9d62-05456ee994c9,build,3.0,0.9375,True
25,2292-aca8604c-6823-4b21-9d62-05456ee994c9,view,3.0,0.9166666666666666,True
26,2405-46fbdc52-eb7f-4311-8405-73ded41ceaf4,build,3.0,0.8333333333333334,True
27,2405-46fbdc52-eb7f-4311-8405-73ded41ceaf4,view,3.0,0.7708333333333334,True
28,2465-1f63d92b-725b-4851-b910-9b71e1731fff,build,2.0,0.9375,True
29,2465-1f63d92b-725b-4851-b910-9b71e1731fff,view,2.0,0.625,True
30,2770-7ced2d66-baab-4591-9de9-ed7b7e0ed202,build,3.0,0.8541666666666666,True
31,2770-7ced2d66-baab-4591-9de9-ed7b7e0ed202,view,3.0,0.8958333333333334,True
32,2785-b96f9a3a-e610-4ed3-ac1f-3d3cfb64ec1d,build,2.0,0.78125,True
33,2785-b96f9a3a-e610-4ed3-ac1f-3d3cfb64ec1d,view,3.0,1.0,True
34,2793-746fc5b9-f318-4963-82a4-3ec1818eb7fc,build,1.0,1.0,True
35,2793-746fc5b9-f318-4963-82a4-3ec1818eb7fc,view,1.0,1.0,True
36,3038-fc68f5d1-26ad-4d4e-b667-b918239507e0,build,2.0,0.8125,True
