,targetName,phase_extended,variance
0,hand_selected_004,post,2.0717501886498884
1,hand_selected_004,pre,2.5226778873253215
2,hand_selected_004,repetition 1,2.0116353337378383
3,hand_selected_004,repetition 2,1.388988179138455
4,hand_selected_005,post,1.8133225367205186
5,hand_selected_005,pre,2.6304964483643065
6,hand_selected_005,repetition 1,2.4913351498863463
7,hand_selected_005,repetition 2,1.7856215746832882
8,hand_selected_006,post,2.326837668667851
9,hand_selected_006,pre,3.055347582271737
10,hand_selected_006,repetition 1,2.4740913984704314
11,hand_selected_006,repetition 2,3.015271060606632
12,hand_selected_008,post,2.2171806305797923
13,hand_selected_008,pre,3.2707305058268266
14,hand_selected_008,repetition 1,2.576657236265857
15,hand_selected_008,repetition 2,2.521713474587262
16,hand_selected_009,post,1.6612350300318104
17,hand_selected_009,pre,2.6752393726680808
18,hand_selected_009,repetition 1,1.7541794611024981
19,hand_selected_009,repetition 2,1.7969492059613914
20,hand_selected_011,post,2.2609892789610218
21,hand_selected_011,pre,2.923930261688702
22,hand_selected_011,repetition 1,3.0213114742423146
23,hand_selected_011,repetition 2,2.162338969755491
24,hand_selected_012,post,1.8744343559590393
25,hand_selected_012,pre,2.7101532154436883
26,hand_selected_012,repetition 1,1.6929877845903403
27,hand_selected_012,repetition 2,1.2801462017736964
28,hand_selected_016,post,2.395343325729973
29,hand_selected_016,pre,3.5105326060659117
30,hand_selected_016,repetition 1,2.7990653824892573
31,hand_selected_016,repetition 2,2.6305204055801026
