,targetName,gameID,level_2,rep_a,rep_b,displacement,reps
0,hand_selected_004,0443-fd078367-c19d-495d-84d5-3519a281435d,0,0,1,0.41818181818181815,0 to 1
1,hand_selected_004,0443-fd078367-c19d-495d-84d5-3519a281435d,1,0,2,0.5272727272727272,0 to 2
2,hand_selected_004,0443-fd078367-c19d-495d-84d5-3519a281435d,2,0,3,0.7575757575757575,0 to 3
3,hand_selected_004,0443-fd078367-c19d-495d-84d5-3519a281435d,3,1,2,0.8909090909090909,1 to 2
4,hand_selected_004,0443-fd078367-c19d-495d-84d5-3519a281435d,4,1,3,0.41818181818181815,1 to 3
5,hand_selected_004,0443-fd078367-c19d-495d-84d5-3519a281435d,5,2,3,0.45454545454545453,2 to 3
6,hand_selected_004,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,0,0,1,0.6,0 to 1
7,hand_selected_004,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,1,0,2,0.6,0 to 2
8,hand_selected_004,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,2,0,3,0.6,0 to 3
9,hand_selected_004,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,3,1,2,0.911111111111111,1 to 2
10,hand_selected_004,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,4,1,3,0.7333333333333333,1 to 3
11,hand_selected_004,0477-2df104ca-e405-4c6c-a35d-eb6b52cdde96,5,2,3,0.7333333333333333,2 to 3
12,hand_selected_004,0652-88ebf36e-0780-4434-a9c7-969af27c2636,0,0,1,0.5454545454545454,0 to 1
13,hand_selected_004,0652-88ebf36e-0780-4434-a9c7-969af27c2636,1,0,2,0.7878787878787877,0 to 2
14,hand_selected_004,0652-88ebf36e-0780-4434-a9c7-969af27c2636,2,0,3,0.8181818181818181,0 to 3
15,hand_selected_004,0652-88ebf36e-0780-4434-a9c7-969af27c2636,3,1,2,0.4065934065934066,1 to 2
16,hand_selected_004,0652-88ebf36e-0780-4434-a9c7-969af27c2636,4,1,3,0.4945054945054945,1 to 3
17,hand_selected_004,0652-88ebf36e-0780-4434-a9c7-969af27c2636,5,2,3,0.5824175824175825,2 to 3
18,hand_selected_004,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,0,0,1,0.39999999999999997,0 to 1
19,hand_selected_004,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,1,0,2,0.19999999999999998,0 to 2
20,hand_selected_004,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,2,0,3,0.39999999999999997,0 to 3
21,hand_selected_004,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,3,1,2,0.6444444444444444,1 to 2
22,hand_selected_004,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,4,1,3,0.7818181818181819,1 to 3
23,hand_selected_004,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,5,2,3,0.7777777777777777,2 to 3
24,hand_selected_004,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,0,0,1,0.611111111111111,0 to 1
25,hand_selected_004,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,1,0,2,0.611111111111111,0 to 2
26,hand_selected_004,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,2,0,3,0.5111111111111111,0 to 3
27,hand_selected_004,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,3,1,2,0.4444444444444444,1 to 2
28,hand_selected_004,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,4,1,3,0.9444444444444445,1 to 3
29,hand_selected_004,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,5,2,3,0.3333333333333333,2 to 3
30,hand_selected_004,0976-bad77500-c02a-44f0-bb87-5dd2768e977c,0,0,1,0.45054945054945056,0 to 1
31,hand_selected_004,0976-bad77500-c02a-44f0-bb87-5dd2768e977c,1,0,2,0.6666666666666665,0 to 2
32,hand_selected_004,0976-bad77500-c02a-44f0-bb87-5dd2768e977c,2,0,3,0.6363636363636364,0 to 3
33,hand_selected_004,0976-bad77500-c02a-44f0-bb87-5dd2768e977c,3,1,2,0.6153846153846153,1 to 2
34,hand_selected_004,0976-bad77500-c02a-44f0-bb87-5dd2768e977c,4,1,3,0.5636363636363636,1 to 3
35,hand_selected_004,0976-bad77500-c02a-44f0-bb87-5dd2768e977c,5,2,3,0.8909090909090909,2 to 3
36,hand_selected_004,1106-c12ab2b8-d38b-4e8f-9244-5adfbadd1093,0,0,1,0.5238095238095238,0 to 1
37,hand_selected_004,1106-c12ab2b8-d38b-4e8f-9244-5adfbadd1093,1,0,2,0.14285714285714288,0 to 2
38,hand_selected_004,1106-c12ab2b8-d38b-4e8f-9244-5adfbadd1093,2,0,3,-0.04761904761904762,0 to 3
39,hand_selected_004,1106-c12ab2b8-d38b-4e8f-9244-5adfbadd1093,3,1,2,0.5555555555555556,1 to 2
40,hand_selected_004,1106-c12ab2b8-d38b-4e8f-9244-5adfbadd1093,4,1,3,0.6666666666666666,1 to 3
41,hand_selected_004,1106-c12ab2b8-d38b-4e8f-9244-5adfbadd1093,5,2,3,0.7777777777777777,2 to 3
42,hand_selected_004,1556-61be62e7-2a5a-4695-9ad2-f7827a87833f,0,0,1,1.0,0 to 1
43,hand_selected_004,1556-61be62e7-2a5a-4695-9ad2-f7827a87833f,1,0,2,0.7777777777777778,0 to 2
44,hand_selected_004,1556-61be62e7-2a5a-4695-9ad2-f7827a87833f,2,0,3,0.7777777777777778,0 to 3
45,hand_selected_004,1556-61be62e7-2a5a-4695-9ad2-f7827a87833f,3,1,2,0.6190476190476191,1 to 2
46,hand_selected_004,1556-61be62e7-2a5a-4695-9ad2-f7827a87833f,4,1,3,0.7142857142857143,1 to 3
47,hand_selected_004,1556-61be62e7-2a5a-4695-9ad2-f7827a87833f,5,2,3,0.7777777777777778,2 to 3
48,hand_selected_004,1691-3673775e-bf17-46c9-b775-79afc1355b02,0,0,1,0.6428571428571428,0 to 1
49,hand_selected_004,1691-3673775e-bf17-46c9-b775-79afc1355b02,1,0,2,0.0909090909090909,0 to 2
50,hand_selected_004,1691-3673775e-bf17-46c9-b775-79afc1355b02,2,0,3,0.1515151515151515,0 to 3
51,hand_selected_004,1691-3673775e-bf17-46c9-b775-79afc1355b02,3,1,2,0.3571428571428571,1 to 2
52,hand_selected_004,1691-3673775e-bf17-46c9-b775-79afc1355b02,4,1,3,0.6428571428571428,1 to 3
53,hand_selected_004,1691-3673775e-bf17-46c9-b775-79afc1355b02,5,2,3,0.6666666666666665,2 to 3
54,hand_selected_004,1763-c95ef836-ba0c-4abf-a4c4-9942d92869cd,0,0,1,0.7090909090909091,0 to 1
55,hand_selected_004,1763-c95ef836-ba0c-4abf-a4c4-9942d92869cd,1,0,2,0.6888888888888888,0 to 2
56,hand_selected_004,1763-c95ef836-ba0c-4abf-a4c4-9942d92869cd,2,0,3,0.7272727272727272,0 to 3
57,hand_selected_004,1763-c95ef836-ba0c-4abf-a4c4-9942d92869cd,3,1,2,0.911111111111111,1 to 2
58,hand_selected_004,1763-c95ef836-ba0c-4abf-a4c4-9942d92869cd,4,1,3,0.7818181818181819,1 to 3
59,hand_selected_004,1763-c95ef836-ba0c-4abf-a4c4-9942d92869cd,5,2,3,0.7777777777777777,2 to 3
60,hand_selected_004,2328-cf96d18d-a95b-4d1b-bc43-602ee1bf5835,0,0,1,0.4999999999999999,0 to 1
61,hand_selected_004,2328-cf96d18d-a95b-4d1b-bc43-602ee1bf5835,1,0,2,0.19999999999999998,0 to 2
62,hand_selected_004,2328-cf96d18d-a95b-4d1b-bc43-602ee1bf5835,2,0,3,0.28888888888888886,0 to 3
63,hand_selected_004,2328-cf96d18d-a95b-4d1b-bc43-602ee1bf5835,3,1,2,0.4999999999999999,1 to 2
64,hand_selected_004,2328-cf96d18d-a95b-4d1b-bc43-602ee1bf5835,4,1,3,0.7857142857142856,1 to 3
65,hand_selected_004,2328-cf96d18d-a95b-4d1b-bc43-602ee1bf5835,5,2,3,0.45454545454545453,2 to 3
66,hand_selected_004,3166-e81c23a6-7431-4d04-b543-58a28128c9d9,0,0,1,0.6666666666666669,0 to 1
67,hand_selected_004,3166-e81c23a6-7431-4d04-b543-58a28128c9d9,1,0,2,0.8888888888888888,0 to 2
68,hand_selected_004,3166-e81c23a6-7431-4d04-b543-58a28128c9d9,2,0,3,0.9444444444444445,0 to 3
69,hand_selected_004,3166-e81c23a6-7431-4d04-b543-58a28128c9d9,3,1,2,0.3333333333333334,1 to 2
70,hand_selected_004,3166-e81c23a6-7431-4d04-b543-58a28128c9d9,4,1,3,0.6666666666666669,1 to 3
71,hand_selected_004,3166-e81c23a6-7431-4d04-b543-58a28128c9d9,5,2,3,0.8333333333333334,2 to 3
72,hand_selected_004,3434-b4d883f9-3dff-48d4-88c0-ee40d88066c9,0,0,1,0.4285714285714286,0 to 1
73,hand_selected_004,3434-b4d883f9-3dff-48d4-88c0-ee40d88066c9,1,0,2,0.3333333333333333,0 to 2
74,hand_selected_004,3434-b4d883f9-3dff-48d4-88c0-ee40d88066c9,2,0,3,0.1818181818181818,0 to 3
75,hand_selected_004,3434-b4d883f9-3dff-48d4-88c0-ee40d88066c9,3,1,2,0.9047619047619049,1 to 2
76,hand_selected_004,3434-b4d883f9-3dff-48d4-88c0-ee40d88066c9,4,1,3,0.5238095238095238,1 to 3
77,hand_selected_004,3434-b4d883f9-3dff-48d4-88c0-ee40d88066c9,5,2,3,0.3333333333333333,2 to 3
78,hand_selected_004,3719-c6caf2a8-3673-486a-ab4c-b08c85e31a34,0,0,1,0.7333333333333333,0 to 1
79,hand_selected_004,3719-c6caf2a8-3673-486a-ab4c-b08c85e31a34,1,0,2,0.5111111111111111,0 to 2
80,hand_selected_004,3719-c6caf2a8-3673-486a-ab4c-b08c85e31a34,2,0,3,0.5111111111111111,0 to 3
81,hand_selected_004,3719-c6caf2a8-3673-486a-ab4c-b08c85e31a34,3,1,2,0.6727272727272727,1 to 2
82,hand_selected_004,3719-c6caf2a8-3673-486a-ab4c-b08c85e31a34,4,1,3,0.7818181818181819,1 to 3
83,hand_selected_004,3719-c6caf2a8-3673-486a-ab4c-b08c85e31a34,5,2,3,0.7362637362637363,2 to 3
84,hand_selected_004,4767-25505ba0-468f-4600-9858-5ec84d2bba3b,0,0,1,1.0,0 to 1
85,hand_selected_004,4767-25505ba0-468f-4600-9858-5ec84d2bba3b,1,0,2,0.6666666666666666,0 to 2
86,hand_selected_004,4767-25505ba0-468f-4600-9858-5ec84d2bba3b,2,0,3,0.6428571428571428,0 to 3
87,hand_selected_004,4767-25505ba0-468f-4600-9858-5ec84d2bba3b,3,1,2,0.6666666666666669,1 to 2
88,hand_selected_004,4767-25505ba0-468f-4600-9858-5ec84d2bba3b,4,1,3,0.3333333333333334,1 to 3
89,hand_selected_004,4767-25505ba0-468f-4600-9858-5ec84d2bba3b,5,2,3,0.14285714285714285,2 to 3
90,hand_selected_004,5297-31ebba85-e71d-4a00-9a58-7e31948237a0,0,0,1,1.0,0 to 1
91,hand_selected_004,5297-31ebba85-e71d-4a00-9a58-7e31948237a0,1,0,2,0.4666666666666666,0 to 2
92,hand_selected_004,5297-31ebba85-e71d-4a00-9a58-7e31948237a0,2,0,3,0.4666666666666666,0 to 3
93,hand_selected_004,5297-31ebba85-e71d-4a00-9a58-7e31948237a0,3,1,2,1.0,1 to 2
94,hand_selected_004,5297-31ebba85-e71d-4a00-9a58-7e31948237a0,4,1,3,1.0,1 to 3
95,hand_selected_004,5297-31ebba85-e71d-4a00-9a58-7e31948237a0,5,2,3,0.7777777777777778,2 to 3
96,hand_selected_004,5561-b91645e7-99ed-4bc3-bed2-033e730ddfc8,0,0,1,0.5555555555555555,0 to 1
97,hand_selected_004,5561-b91645e7-99ed-4bc3-bed2-033e730ddfc8,1,0,2,0.4444444444444444,0 to 2
98,hand_selected_004,5561-b91645e7-99ed-4bc3-bed2-033e730ddfc8,2,0,3,0.5,0 to 3
99,hand_selected_004,5561-b91645e7-99ed-4bc3-bed2-033e730ddfc8,3,1,2,0.9444444444444445,1 to 2
100,hand_selected_004,5561-b91645e7-99ed-4bc3-bed2-033e730ddfc8,4,1,3,0.7777777777777778,1 to 3
101,hand_selected_004,5561-b91645e7-99ed-4bc3-bed2-033e730ddfc8,5,2,3,0.7222222222222222,2 to 3
102,hand_selected_004,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,0,0,1,0.6666666666666666,0 to 1
103,hand_selected_004,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,1,0,2,0.8888888888888888,0 to 2
104,hand_selected_004,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,2,0,3,0.7777777777777778,0 to 3
105,hand_selected_004,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,3,1,2,0.6888888888888888,1 to 2
106,hand_selected_004,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,4,1,3,0.7777777777777778,1 to 3
107,hand_selected_004,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,5,2,3,0.7222222222222222,2 to 3
108,hand_selected_004,7003-7e4d5b38-649c-46ce-8249-3d2dd2317136,0,0,1,0.9636363636363636,0 to 1
109,hand_selected_004,7003-7e4d5b38-649c-46ce-8249-3d2dd2317136,1,0,2,0.9999999999999999,0 to 2
110,hand_selected_004,7003-7e4d5b38-649c-46ce-8249-3d2dd2317136,2,0,3,0.8666666666666666,0 to 3
111,hand_selected_004,7003-7e4d5b38-649c-46ce-8249-3d2dd2317136,3,1,2,0.9999999999999999,1 to 2
112,hand_selected_004,7003-7e4d5b38-649c-46ce-8249-3d2dd2317136,4,1,3,0.911111111111111,1 to 3
113,hand_selected_004,7003-7e4d5b38-649c-46ce-8249-3d2dd2317136,5,2,3,0.9999999999999999,2 to 3
114,hand_selected_004,7403-51a56b3d-e3c7-4e3d-b740-b9d03ecb6b23,0,0,1,0.5238095238095238,0 to 1
115,hand_selected_004,7403-51a56b3d-e3c7-4e3d-b740-b9d03ecb6b23,1,0,2,0.4285714285714286,0 to 2
116,hand_selected_004,7403-51a56b3d-e3c7-4e3d-b740-b9d03ecb6b23,2,0,3,0.5238095238095238,0 to 3
117,hand_selected_004,7403-51a56b3d-e3c7-4e3d-b740-b9d03ecb6b23,3,1,2,0.9555555555555554,1 to 2
118,hand_selected_004,7403-51a56b3d-e3c7-4e3d-b740-b9d03ecb6b23,4,1,3,0.9555555555555554,1 to 3
119,hand_selected_004,7403-51a56b3d-e3c7-4e3d-b740-b9d03ecb6b23,5,2,3,0.911111111111111,2 to 3
120,hand_selected_004,8393-20a088d6-1640-4144-9c9b-1a4de630af05,0,0,1,0.3333333333333334,0 to 1
121,hand_selected_004,8393-20a088d6-1640-4144-9c9b-1a4de630af05,1,0,2,0.19999999999999998,0 to 2
122,hand_selected_004,8393-20a088d6-1640-4144-9c9b-1a4de630af05,2,0,3,0.39999999999999997,0 to 3
123,hand_selected_004,8393-20a088d6-1640-4144-9c9b-1a4de630af05,3,1,2,0.6666666666666669,1 to 2
124,hand_selected_004,8393-20a088d6-1640-4144-9c9b-1a4de630af05,4,1,3,1.0,1 to 3
125,hand_selected_004,8393-20a088d6-1640-4144-9c9b-1a4de630af05,5,2,3,0.3333333333333333,2 to 3
126,hand_selected_004,8397-be124375-c065-4d32-b13f-3c684ac930ea,0,0,1,0.3333333333333334,0 to 1
127,hand_selected_004,8397-be124375-c065-4d32-b13f-3c684ac930ea,1,0,2,0.4444444444444444,0 to 2
128,hand_selected_004,8397-be124375-c065-4d32-b13f-3c684ac930ea,2,0,3,0.5,0 to 3
129,hand_selected_004,8397-be124375-c065-4d32-b13f-3c684ac930ea,3,1,2,1.0,1 to 2
130,hand_selected_004,8397-be124375-c065-4d32-b13f-3c684ac930ea,4,1,3,0.6666666666666669,1 to 3
131,hand_selected_004,8397-be124375-c065-4d32-b13f-3c684ac930ea,5,2,3,0.6888888888888888,2 to 3
132,hand_selected_004,8643-ca88fa7f-12b9-44fe-8baf-52b96ddf3ec3,0,0,1,0.6,0 to 1
133,hand_selected_004,8643-ca88fa7f-12b9-44fe-8baf-52b96ddf3ec3,1,0,2,0.9999999999999999,0 to 2
134,hand_selected_004,8643-ca88fa7f-12b9-44fe-8baf-52b96ddf3ec3,2,0,3,0.8666666666666666,0 to 3
135,hand_selected_004,8643-ca88fa7f-12b9-44fe-8baf-52b96ddf3ec3,3,1,2,0.7333333333333333,1 to 2
136,hand_selected_004,8643-ca88fa7f-12b9-44fe-8baf-52b96ddf3ec3,4,1,3,0.6,1 to 3
137,hand_selected_004,8643-ca88fa7f-12b9-44fe-8baf-52b96ddf3ec3,5,2,3,0.9444444444444445,2 to 3
