,targetName,phase_extended,variance
0,hand_selected_004,post,1.8133895876402135
1,hand_selected_004,pre,2.4840452918842413
2,hand_selected_004,repetition 1,1.5741580394453905
3,hand_selected_004,repetition 2,1.0885003062693444
4,hand_selected_005,post,1.4555487144225394
5,hand_selected_005,pre,2.5138452871959043
6,hand_selected_005,repetition 1,2.032024569490962
7,hand_selected_005,repetition 2,1.8988352582275272
8,hand_selected_006,post,1.9395883837552965
9,hand_selected_006,pre,2.801376259408678
10,hand_selected_006,repetition 1,2.2437650640682154
11,hand_selected_006,repetition 2,2.9354768091631285
12,hand_selected_008,post,1.9382250339461051
13,hand_selected_008,pre,2.5876289400743997
14,hand_selected_008,repetition 1,2.5278716559228243
15,hand_selected_008,repetition 2,2.4011448022207933
16,hand_selected_009,post,1.1409141672384153
17,hand_selected_009,pre,2.315209641699387
18,hand_selected_009,repetition 1,1.6716521279970697
19,hand_selected_009,repetition 2,2.0623520494219076
20,hand_selected_011,post,1.9445733602862185
21,hand_selected_011,pre,2.5496156174679814
22,hand_selected_011,repetition 1,3.447717606953163
23,hand_selected_011,repetition 2,1.983956112301976
24,hand_selected_012,post,1.7629527156700326
25,hand_selected_012,pre,2.6452681054656315
26,hand_selected_012,repetition 1,0.7966210219809389
27,hand_selected_012,repetition 2,0.525449670158964
28,hand_selected_016,post,2.162320743588563
29,hand_selected_016,pre,2.9747686025976225
30,hand_selected_016,repetition 1,2.0399096740908584
31,hand_selected_016,repetition 2,2.1312384742607744
