,gameID,trialNum,targetName,repetition,blockNum,condition,phase_extended,y,x,w,h
0,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,0,hand_selected_011,0,1,repeated,pre,0,6,4,2
1,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,0,hand_selected_011,0,2,repeated,pre,0,10,2,4
2,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,0,hand_selected_011,0,3,repeated,pre,2,8,2,2
3,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,0,hand_selected_011,0,4,repeated,pre,4,8,2,4
4,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,0,hand_selected_011,0,5,repeated,pre,2,4,4,2
5,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,1,hand_selected_006,0,1,repeated,pre,0,9,4,2
6,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,1,hand_selected_006,0,2,repeated,pre,2,11,2,2
7,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,1,hand_selected_006,0,3,repeated,pre,4,11,2,1
8,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,1,hand_selected_006,0,4,repeated,pre,0,6,2,1
9,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,1,hand_selected_006,0,5,repeated,pre,1,7,2,1
10,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,1,hand_selected_006,0,6,repeated,pre,1,5,2,1
11,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,1,hand_selected_006,0,7,repeated,pre,2,5,2,2
12,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,2,hand_selected_005,0,1,control,pre,0,5,2,4
13,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,2,hand_selected_005,0,2,control,pre,0,8,4,2
14,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,2,hand_selected_005,0,3,control,pre,2,7,2,2
15,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,2,hand_selected_005,0,4,control,pre,4,7,2,4
16,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,2,hand_selected_005,0,5,control,pre,2,10,2,2
17,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,2,hand_selected_005,0,6,control,pre,4,9,4,2
18,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,2,hand_selected_005,0,7,control,pre,6,9,4,2
19,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,3,hand_selected_012,0,1,control,pre,0,8,4,2
20,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,3,hand_selected_012,0,2,control,pre,2,8,2,2
21,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,3,hand_selected_012,0,3,control,pre,2,11,1,2
22,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,3,hand_selected_012,0,4,control,pre,4,11,1,2
23,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,3,hand_selected_012,0,5,control,pre,6,11,1,2
24,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,3,hand_selected_012,0,6,control,pre,0,5,1,2
25,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,3,hand_selected_012,0,7,control,pre,2,5,1,2
26,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,3,hand_selected_012,0,8,control,pre,4,5,4,2
27,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,3,hand_selected_012,0,9,control,pre,6,5,4,2
28,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,3,hand_selected_012,0,10,control,pre,4,9,1,2
29,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,3,hand_selected_012,0,11,control,pre,6,9,1,2
30,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,4,hand_selected_004,0,1,repeated,pre,0,10,2,2
31,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,4,hand_selected_004,0,2,repeated,pre,2,9,4,2
32,0050-6c4598b0-4ba2-453b-9450-a2b56232ac90,4,hand_selected_004,0,3,repeated,pre,0,7,2,2
