trialNum,rawF1DiscreteScore,repetition,gameID,targetName,condition,phase,buildTime,bis
0,1.4877455023900292,0,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_009,repeated,pre,0.7152569679068419,0.7724885344831873
1,-1.215213886093368,0,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_005,control,pre,-2.148835317895944,0.933621431802576
2,0.12727291125004936,0,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_008,control,pre,0.6510177670443741,-0.5237448557943247
3,0.14581015627150562,0,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_006,repeated,pre,0.866321237072822,-0.7205110808013164
4,-1.0591107701232034,0,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_012,control,pre,0.7935697746119706,-1.8526805447351742
5,1.5361035328807862,0,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_004,control,pre,0.3335671578353235,1.2025363750454627
6,-2.2214461336307822,0,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_016,repeated,pre,0.5890485026081418,-2.810494636238924
7,0.5628981692542905,0,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_011,repeated,pre,-0.8385145158514358,1.4014126851057263
8,0.5949818625606583,1,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_006,repeated,repeated,0.8625758419695333,-0.26759397940887497
9,0.16216654893749857,1,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_009,repeated,repeated,0.3756744785419941,-0.21350792960449552
10,-1.9176779079591098,1,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_011,repeated,repeated,-1.0462136988519946,-0.8714642091071152
11,1.536103532880787,1,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_016,repeated,repeated,0.6342202374902305,0.9018832953905566
12,-0.6883658696940619,2,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_009,repeated,repeated,-0.5727049603392453,-0.11566090935481654
13,-0.8273952073549897,2,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_006,repeated,repeated,-0.3260763676287459,-0.5013188397262438
14,1.0206776956988097,2,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_016,repeated,repeated,-0.19589551358413348,1.2165732092829433
15,-0.5127498642276266,2,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_011,repeated,repeated,-2.317945581650497,1.8051957174228703
16,-0.4442167889236514,3,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_008,control,post,-2.101847633872867,1.6576308449492154
17,0.4238688315933622,3,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_012,control,post,0.6896066862903795,-0.2657378546970173
18,0.5628981692542905,3,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_006,repeated,post,0.8499776948039256,-0.2870795255496351
19,0.9799861822370746,3,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_009,repeated,post,0.6255944790705352,0.35439170316653934
20,0.6951455880049291,3,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_016,repeated,post,-0.07002753874936869,0.7651731267542978
21,-0.2116938548565945,3,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_011,repeated,post,-0.17648755713981898,-0.035206297716775525
22,-0.04942253065660553,3,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_005,control,post,0.9109254878483518,-0.9603480185049573
23,-0.6883658696940625,3,0145-8cab6010-6b88-4e57-b04d-b9e9b4b7c959,hand_selected_004,control,post,0.8971923724696264,-1.585558242163689
0,-3.4829610977166627,0,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_005,control,pre,-2.719940863940666,-0.7630202337759968
1,0.06362002732749142,0,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_016,control,pre,1.3947556055405985,-1.3311355782131071
2,0.38572194059092574,0,0443-fd078367-c19d-495d-84d5-3519a281435d,hand_selected_004,repeated,pre,0.4886625859587667,-0.10294064536784098
