,Unnamed: 0,gameID,trialNum,phase,condition,eventType,score,normedScore,numBlocks,timeAbsolute,timeRelative,buildTime,currBonus,exploreResets,buildResets,allVertices,nPracticeAttempts,exploreStartTime,buildStartTime,buildFinishTime,targetName,numBlocksExplore,totalExploreBlocks,numAttempts,finalExploreBlocks,extendedCondition
0,498,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,0,build,mental,trial_end,0.03,0.8825188730682119,5,1575563555655.0,320950.72000008076,56779,0.03,0,2,"[[{'x': 496.5844199549109, 'y': 592.4785727811505}, {'x': 716.5844172497557, 'y': 592.4440725065508}, {'x': 716.6016673870555, 'y': 702.4440711539722}, {'x': 496.6016700922117, 'y': 702.478571428572}], [{'x': 272.57041746319135, 'y': 592.4785721259137}, {'x': 382.5704167658494, 'y': 592.4661860349363}, {'x': 382.5828028568269, 'y': 702.4661853375945}, {'x': 272.58280355416883, 'y': 702.478571428572}], [{'x': 336.85562974986857, 'y': 482.79563410306395}, {'x': 556.8556199799272, 'y': 482.8611991408407}, {'x': 556.8228374610384, 'y': 592.861194255869}, {'x': 336.8228472309799, 'y': 592.7956292180916}], [{'x': 390.9362971152163, 'y': 372.92974818106205}, {'x': 610.9362661979876, 'y': 373.0463825657931}, {'x': 610.8779490056227, 'y': 483.0463671071787}, {'x': 390.8779799228507, 'y': 482.9297327224476}], [{'x': 390.9388431051429, 'y': 262.9801683175949}, {'x': 610.9388295805959, 'y': 263.05730974960727}, {'x': 610.90025886459, 'y': 373.0573029873336}, {'x': 390.90027238913666, 'y': 372.9801615553213}]]",,1575563465484.0,1575563495530.0,1575563555531.0,hand_selected_015,0,0.0,1,0,mental
2,512,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,2,build,physical,trial_end,0.06,0.8796048205285585,7,1575563745807.0,511102.9199999757,56120,0.03,0,0,"[[{'x': 273.84901599820495, 'y': 592.69204500406}, {'x': 493.8490159304615, 'y': 592.6975045816455}, {'x': 493.84628614166905, 'y': 702.6975045477739}, {'x': 273.8462862094125, 'y': 702.6920449701884}], [{'x': 303.10818589541753, 'y': 483.12690908880506}, {'x': 523.1081853142913, 'y': 483.1428995613642}, {'x': 523.1001900780121, 'y': 593.1428992708053}, {'x': 303.1001906591372, 'y': 593.1269087982458}], [{'x': 529.3091193043292, 'y': 482.4127499024601}, {'x': 639.3089709126953, 'y': 482.5934323239594}, {'x': 638.947606069697, 'y': 702.5931355406892}, {'x': 528.9477544613314, 'y': 702.4124531191901}], [{'x': 526.8804224767941, 'y': 372.64453818399824}, {'x': 746.8801995304182, 'y': 372.95774156165976}, {'x': 746.7235978415881, 'y': 482.95763008847194}, {'x': 526.7238207879639, 'y': 482.6444267108104}], [{'x': 521.4477866737382, 'y': 262.75873837782973}, {'x': 741.4476285315291, 'y': 263.02252341628866}, {'x': 741.3157360122996, 'y': 373.0224443451844}, {'x': 521.3158941545087, 'y': 372.75865930672546}], [{'x': 358.1325164786884, 'y': 373.4456680629485}, {'x': 468.1325156545491, 'y': 373.45913322473825}, {'x': 468.1190504927592, 'y': 483.4591324005991}, {'x': 358.1190513168985, 'y': 483.4456672388094}], [{'x': 358.1317712578607, 'y': 263.49609366971487}, {'x': 468.1317709198921, 'y': 263.50471649412793}, {'x': 468.123148095479, 'y': 373.5047161561594}, {'x': 358.12314843344757, 'y': 373.49609333174635}]]",,1575563655648.0,1575563685683.0,1575563745686.0,hand_selected_004,2,2.0,1,2,<=3 blocks
3,518,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,3,build,mental,trial_end,0.06,0.5576534301356119,10,1575563840722.0,606017.8749999031,54708,0.0,0,0,"[[{'x': 414.4062149949713, 'y': 482.47857544586867}, {'x': 524.4062129863286, 'y': 482.4575539945027}, {'x': 524.4482558890605, 'y': 702.457549977206}, {'x': 414.44825789770306, 'y': 702.478571428572}], [{'x': 528.3589520442326, 'y': 592.9100406029967}, {'x': 748.3589271768161, 'y': 592.8054382005381}, {'x': 748.4112283780444, 'y': 702.8054257668308}, {'x': 528.4112532454609, 'y': 702.9100281692894}], [{'x': 524.6187339130394, 'y': 483.33939350279474}, {'x': 579.6186200102601, 'y': 483.22745917961396}, {'x': 579.8424886566207, 'y': 593.227231374055}, {'x': 524.8426025594, 'y': 593.3391656972356}], [{'x': 526.1249631031213, 'y': 373.6162454026241}, {'x': 581.1246659054535, 'y': 373.43543706462094}, {'x': 581.4862825814608, 'y': 483.4348426692865}, {'x': 526.4865797791286, 'y': 483.61565100728967}], [{'x': 691.5539874301966, 'y': 483.176795694024}, {'x': 746.553960302184, 'y': 483.2314224332967}, {'x': 746.4447068236381, 'y': 593.231368177271}, {'x': 691.4447339516502, 'y': 593.1767414379989}], [{'x': 689.2974048049816, 'y': 373.45949809836515}, {'x': 744.297397991334, 'y': 373.4321210769539}, {'x': 744.3521520341546, 'y': 483.4321074496566}, {'x': 689.3521588478027, 'y': 483.45948447106787}], [{'x': 521.431430067689, 'y': 263.59968143373703}, {'x': 741.4314196795739, 'y': 263.532073960513}, {'x': 741.4652234161863, 'y': 373.5320687664555}, {'x': 521.4652338043014, 'y': 373.5996762396794}], [{'x': 301.84994506835943, 'y': 647.478571428572}, {'x': 411.84994506835943, 'y': 647.478571428572}, {'x': 411.84994506835943, 'y': 702.478571428572}, {'x': 301.84994506835943, 'y': 702.478571428572}], [{'x': 180.3499450683594, 'y': 482.49681627588245}, {'x': 290.34994506835943, 'y': 482.49681627588245}, {'x': 290.34994506835943, 'y': 702.49681627588}, {'x': 180.3499450683594, 'y': 702.49681627588}], [{'x': 180.3499450683594, 'y': 262.5472422788854}, {'x': 290.34994506835943, 'y': 262.5472422788854}, {'x': 290.34994506835943, 'y': 482.54724227888545}, {'x': 180.3499450683594, 'y': 482.54724227888545}]]",,1575563750564.0,1575563780594.0,1575563840597.0,hand_selected_001,0,0.0,1,0,mental
4,523,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,4,build,mental,trial_end,0.11,0.9762240580294176,7,1575563935722.0,701017.7700002678,47979,0.05,0,0,"[[{'x': 444.9290823724809, 'y': 592.8611021306741}, {'x': 664.9290823401551, 'y': 592.8573306851223}, {'x': 664.9309680629308, 'y': 702.8573306689581}, {'x': 444.9309680952569, 'y': 702.8611021145099}], [{'x': 274.3366655207609, 'y': 482.5218391910096}, {'x': 384.3365507618864, 'y': 482.3629463366975}, {'x': 384.65433647051043, 'y': 702.3627168189452}, {'x': 274.65445122938496, 'y': 702.5216096732569}], [{'x': 384.95898366799514, 'y': 483.00717856731546}, {'x': 494.95898206966746, 'y': 482.98842671447994}, {'x': 494.9777339225031, 'y': 592.9884251161509}, {'x': 384.9777355208309, 'y': 593.0071769689883}], [{'x': 553.8928767222659, 'y': 482.9182103280854}, {'x': 663.8924048129923, 'y': 483.240421155894}, {'x': 663.5701939851839, 'y': 593.2399492466188}, {'x': 553.5706658944575, 'y': 592.9177384188101}], [{'x': 492.7970162280978, 'y': 373.09971403671835}, {'x': 712.7965668578886, 'y': 373.54437423322247}, {'x': 712.574236759636, 'y': 483.5441495481178}, {'x': 492.5746861298456, 'y': 483.09948935161367}], [{'x': 495.0455760533189, 'y': 263.23099138995354}, {'x': 715.0452025609712, 'y': 263.6363757668096}, {'x': 714.8425103725434, 'y': 373.63618902063655}, {'x': 494.84288386489106, 'y': 373.23080464378063}], [{'x': 378.04689039220426, 'y': 262.28382797950803}, {'x': 488.0437034997182, 'y': 263.1211488204649}, {'x': 486.3690618178045, 'y': 483.1147750354927}, {'x': 376.37224871029053, 'y': 482.27745419453584}]]",,1575563845560.0,1575563875594.0,1575563935595.0,hand_selected_005,0,0.0,1,0,mental
5,528,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,5,build,physical,trial_end,0.16,0.972014875410404,8,1575564030642.0,795937.8750002944,45634,0.05,1,0,"[[{'x': 495.3612855521121, 'y': 592.6425815132847}, {'x': 605.3612855102203, 'y': 592.6395456721823}, {'x': 605.3643213513232, 'y': 702.6395456302902}, {'x': 495.364321393215, 'y': 702.6425814713928}], [{'x': 664.6240202299538, 'y': 592.6319404900264}, {'x': 719.6240200683538, 'y': 592.6361566568924}, {'x': 719.6155877346208, 'y': 702.6361563336914}, {'x': 664.6155878962207, 'y': 702.6319401668254}], [{'x': 492.0562054191925, 'y': 482.9819150583189}, {'x': 712.0562033004227, 'y': 482.95138213750806}, {'x': 712.0714697608274, 'y': 592.9513810781214}, {'x': 492.07147187959794, 'y': 592.9819139989326}], [{'x': 662.4282152211434, 'y': 373.2498667759741}, {'x': 717.4282130310377, 'y': 373.26538810273496}, {'x': 717.3971703775154, 'y': 483.2653837225243}, {'x': 662.3971725676209, 'y': 483.24986239576344}], [{'x': 657.8926153113764, 'y': 263.3941876679194}, {'x': 712.8926150830515, 'y': 263.3991992292819}, {'x': 712.8825919603255, 'y': 373.3991987726318}, {'x': 657.8825921886504, 'y': 373.3941872112692}], [{'x': 279.3533769771854, 'y': 482.48211496288684}, {'x': 389.3533707231994, 'y': 482.51920777649946}, {'x': 389.27918509597424, 'y': 702.519195268526}, {'x': 279.2791913499601, 'y': 702.4821024549134}], [{'x': 330.64668617428003, 'y': 372.3802324535949}, {'x': 550.6455178664886, 'y': 373.09720808985634}, {'x': 550.2870300483577, 'y': 483.0966239359608}, {'x': 330.2881983561491, 'y': 482.37964829969934}], [{'x': 491.71379225364456, 'y': 262.95500413248976}, {'x': 546.7135787202494, 'y': 263.10826413328533}, {'x': 546.4070587186577, 'y': 373.10783706649545}, {'x': 491.4072722520527, 'y': 372.9545770656999}]]",,1575563940510.0,1575563970522.0,1575564030524.0,hand_selected_013,1,2.0,2,1,<=3 blocks
6,532,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,6,build,physical,trial_end,0.16,0.4077728655717864,5,1575564125535.0,890831.0650000349,57608,0.0,1,1,"[[{'x': 299.40381861754133, 'y': 647.5329968917882}, {'x': 409.40369553073634, 'y': 647.6975541218617}, {'x': 409.3214169156996, 'y': 702.6974925784592}, {'x': 299.3215400025046, 'y': 702.5329353483858}], [{'x': 318.1148021100112, 'y': 537.9058131631126}, {'x': 428.1144387990109, 'y': 538.1885290772776}, {'x': 427.83172288484633, 'y': 648.1881657662769}, {'x': 317.83208619584667, 'y': 647.9054498521119}], [{'x': 370.4357857345538, 'y': 428.36016024572837}, {'x': 425.4356811922982, 'y': 428.46739660704384}, {'x': 425.2212084696667, 'y': 538.467187522532}, {'x': 370.2213130119224, 'y': 538.3599511612173}], [{'x': 370.2869712131704, 'y': 318.5058109893707}, {'x': 425.28693611630047, 'y': 318.5679451541624}, {'x': 425.16266778671735, 'y': 428.56787496042256}, {'x': 370.16270288358726, 'y': 428.50574079563097}], [{'x': 556.5999450683594, 'y': 592.478571428572}, {'x': 611.5999450683594, 'y': 592.478571428572}, {'x': 611.5999450683594, 'y': 702.478571428572}, {'x': 556.5999450683594, 'y': 702.478571428572}]]",,1575564035367.0,1575564065406.0,1575564125408.0,hand_selected_016,3,3.0,2,3,<=3 blocks
7,536,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,7,build,mental,trial_end,0.19,0.9208736524656188,8,1575564220921.0,986217.2199999914,55567,0.03,0,0,"[[{'x': 273.7809319900754, 'y': 592.661545631845}, {'x': 493.7809270477699, 'y': 592.7081783903957}, {'x': 493.75761066849475, 'y': 702.7081759192433}, {'x': 273.7576156108001, 'y': 702.6615431606926}], [{'x': 544.6169778177634, 'y': 592.6190754165422}, {'x': 654.6169081243103, 'y': 592.7429001098367}, {'x': 654.4930834310153, 'y': 702.742830416384}, {'x': 544.4931531244689, 'y': 702.6190057230892}], [{'x': 492.5412740472685, 'y': 482.88545673877394}, {'x': 712.5406430774879, 'y': 483.4123592965499}, {'x': 712.2771917986001, 'y': 593.4120438116578}, {'x': 492.2778227683806, 'y': 592.8851412538837}], [{'x': 546.0809842265171, 'y': 263.0309495593201}, {'x': 656.0803585515063, 'y': 263.40195914251603}, {'x': 655.3383393851154, 'y': 483.4007077924949}, {'x': 545.3389650601263, 'y': 483.0296982092989}], [{'x': 658.5128510807832, 'y': 373.609667346798}, {'x': 713.512748443552, 'y': 373.7159221584536}, {'x': 713.3002388202418, 'y': 483.71571688398944}, {'x': 658.3003414574725, 'y': 483.6094620723338}], [{'x': 656.1456457954067, 'y': 263.75459532952397}, {'x': 711.1456105116282, 'y': 263.81689472179795}, {'x': 711.0210117270802, 'y': 373.81682415424297}, {'x': 656.021047010859, 'y': 373.754524761969}], [{'x': 328.86438674169085, 'y': 372.9401137289793}, {'x': 438.86438672915256, 'y': 372.94177457821695}, {'x': 438.86106503067685, 'y': 592.94177455314}, {'x': 328.86106504321515, 'y': 592.9401137039019}], [{'x': 328.84951223535904, 'y': 262.99053975197387}, {'x': 438.8495122352587, 'y': 262.99039116900303}, {'x': 438.8496608182294, 'y': 372.99039116890265}, {'x': 328.8496608183297, 'y': 372.9905397518735}]]",,1575564130749.0,1575564160782.0,1575564220787.0,hand_selected_007,0,0.0,1,0,mental
8,541,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,8,build,physical,trial_end,0.19,0.5823428213950579,7,1575564316264.0,1081559.1950002126,49782,0.0,0,0,"[[{'x': 309.8475213415538, 'y': 592.4968163005419}, {'x': 529.8475212922036, 'y': 592.4921569617644}, {'x': 529.8498509616037, 'y': 702.4921569370949}, {'x': 309.8498510109448, 'y': 702.4968162758727}], [{'x': 418.8333421489594, 'y': 482.5627532268713}, {'x': 528.833341660012, 'y': 482.5523817435418}, {'x': 528.8437131433384, 'y': 592.5523812545925}, {'x': 418.8437136322874, 'y': 592.5627527379193}], [{'x': 533.5993527115602, 'y': 592.522955576173}, {'x': 643.5993527110471, 'y': 592.5232913619712}, {'x': 643.5990169252489, 'y': 702.5232913614584}, {'x': 533.5990169257619, 'y': 702.5229555756601}], [{'x': 645.1028139007601, 'y': 592.6199512667704}, {'x': 865.1028137987236, 'y': 592.6266517030132}, {'x': 865.0994635806019, 'y': 702.6266516519954}, {'x': 645.0994636826384, 'y': 702.6199512157526}], [{'x': 756.331865199668, 'y': 372.88596597618755}, {'x': 866.3318646076726, 'y': 372.8745537460493}, {'x': 866.3546890679494, 'y': 592.8745525620582}, {'x': 756.3546896599447, 'y': 592.8859647921958}], [{'x': 751.8236614179413, 'y': 318.0163828336392}, {'x': 861.8236605666867, 'y': 318.0026979500857}, {'x': 861.8305030084631, 'y': 373.0026975244583}, {'x': 751.8305038597176, 'y': 373.01638240801185}], [{'x': 641.675280252217, 'y': 372.60690792012196}, {'x': 751.6752753183024, 'y': 372.6398542557909}, {'x': 751.6093826469643, 'y': 592.6398443879634}, {'x': 641.6093875808787, 'y': 592.6068980522939}]]",,1575564226111.0,1575564256138.0,1575564316141.0,hand_selected_014,4,4.0,1,4,3<x<6 blocks
9,546,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,9,build,mental,trial_end,0.22,0.8854900311853955,8,1575564411035.0,1176330.575000029,56609,0.03,0,0,"[[{'x': 273.848922537562, 'y': 592.7264418271171}, {'x': 493.8489223160559, 'y': 592.7363141386595}, {'x': 493.84398616028534, 'y': 702.7363140279068}, {'x': 273.8439863817914, 'y': 702.7264417163644}], [{'x': 496.5936667815049, 'y': 592.7735654050329}, {'x': 716.5936652095406, 'y': 592.7472658961894}, {'x': 716.6068149639616, 'y': 702.7472651102095}, {'x': 496.6068165359271, 'y': 702.7735646190529}], [{'x': 272.61897235588253, 'y': 372.9904853091263}, {'x': 382.61897210569583, 'y': 372.9979042758318}, {'x': 382.6041341722854, 'y': 592.9979037754589}, {'x': 272.6041344224723, 'y': 592.9904848087533}], [{'x': 605.5370494428515, 'y': 483.1331100277203}, {'x': 715.5370459359316, 'y': 483.10533373604466}, {'x': 715.5648222276074, 'y': 593.1053302291243}, {'x': 605.5648257345273, 'y': 593.1331065207992}], [{'x': 662.4033220432374, 'y': 373.1927155664719}, {'x': 717.4032970204775, 'y': 373.24517986763124}, {'x': 717.2983684181585, 'y': 483.2451298221127}, {'x': 662.2983934409182, 'y': 483.19266552095337}], [{'x': 430.08422020120713, 'y': 482.97341873830914}, {'x': 540.084220153931, 'y': 482.97019370320527}, {'x': 540.0874451890345, 'y': 592.9701936559287}, {'x': 430.08744523631117, 'y': 592.9734186910316}], [{'x': 386.34590603913927, 'y': 373.1764423094383}, {'x': 606.3459059556062, 'y': 373.18250486011664}, {'x': 606.3428746802672, 'y': 483.1825048183502}, {'x': 386.34287476379995, 'y': 483.17644226767186}], [{'x': 329.3791825334433, 'y': 263.04218710882145}, {'x': 384.3791821673919, 'y': 263.0485326279257}, {'x': 384.3664911291837, 'y': 373.0485318958237}, {'x': 329.36649149523504, 'y': 373.0421863767195}]]",,1575564320860.0,1575564350911.0,1575564410915.0,hand_selected_009,0,0.0,1,0,mental
10,550,0468-bb3f0e39-c829-430d-9c75-c538d48abe22,10,build,mental,trial_end,0.22,0.5971932534537963,8,1575564506262.0,1271558.770000003,55946,0.0,0,0,"[[{'x': 276.74379882460397, 'y': 592.479160570489}, {'x': 496.7434309138928, 'y': 592.0768167158172}, {'x': 496.94460284122846, 'y': 702.0766327604623}, {'x': 276.94497075193976, 'y': 702.478976615134}], [{'x': 496.69474287165474, 'y': 592.613632398631}, {'x': 716.694283704813, 'y': 592.1641513671359}, {'x': 716.9190242205602, 'y': 702.1639217837175}, {'x': 496.91948338740167, 'y': 702.6134028152121}], [{'x': 552.6397830685364, 'y': 482.7273831017339}, {'x': 772.63866379205, 'y': 482.0256136233546}, {'x': 772.9895485312388, 'y': 592.025053985113}, {'x': 552.9906678077257, 'y': 592.7268234634926}], [{'x': 163.0309763864263, 'y': 702.0676962333101}, {'x': 163.60930920236044, 'y': 592.0692165567528}, {'x': 273.60778887891723, 'y': 592.6475493726875}, {'x': 273.0294560629829, 'y': 702.6460290492445}], [{'x': 212.98215399923177, 'y': 482.6884446077489}, {'x': 432.9754741608785, 'y': 480.97406884528965}, {'x': 433.83266204210867, 'y': 590.9707289261138}, {'x': 213.83934188046157, 'y': 592.685104688572}], [{'x': 357.08606273769624, 'y': 400.8279641979748}, {'x': 462.3611015976035, 'y': 432.72100721749547}, {'x': 446.414580087843, 'y': 485.3585266474479}, {'x': 341.1395412279353, 'y': 453.4654836279272}], [{'x': 719.5801603240493, 'y': 372.33512996958825}, {'x': 774.5794190643753, 'y': 372.04958134902665}, {'x': 775.1505163054994, 'y': 482.04809882967913}, {'x': 720.1512575651736, 'y': 482.33364745024073}], [{'x': 431.2964072517366, 'y': 305.17507623734446}, {'x': 638.5834290631472, 'y': 378.87779388436576}, {'x': 601.7320702396365, 'y': 482.5213047900699}, {'x': 394.44504842822647, 'y': 408.81858714304906}]]",,1575564416117.0,1575564446154.0,1575564506154.0,hand_selected_008,0,0.0,1,0,mental
