,index,_id,rt,stimulus,response,response_correct,stimURL,chunk_id,rep,block_number,composite_duration,chunk_duration,participant_condition,compatible_trial,validity,talls_name,wides_name,part_type,part_a,part_b,compatible_condition,trial_type,trial_index,time_elapsed,internal_node_id,datatype,experimentName,iterationName,workerID,gameID,compatibility,composite_id,trial_bin,flagRT
0,0,61678fd99075de37027a1f43,2155.4000000953674,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,500,500,A,False,valid,talls_100_118,wides_013_010,tall,tall_100,tall_118,none,tower-zipping,21,429898,0.0-21.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,novel,talls_100_118.png,2.0,False
1,1,61678fdc9075de37027a1f44,993.8000001907349,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,500,500,A,False,invalid,talls_100_118,wides_013_010,tall,tall_102,tall_127,none,tower-zipping,22,432698,0.0-22.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,novel,talls_100_118.png,2.0,False
2,2,61678fe09075de37027a1f45,1558.2999999523163,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,500,500,A,False,valid,talls_122_127,wides_025_023,wide,wide_025,wide_023,B,tower-zipping,23,436072,0.0-23.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,incompatible,talls_122_127.png,2.0,False
3,3,61678fe29075de37027a1f46,989.6000001430511,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,500,500,A,False,invalid,talls_100_118,wides_013_010,wide,wide_024,wide_023,none,tower-zipping,24,438927,0.0-24.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,novel,talls_100_118.png,2.0,False
4,4,61678fe59075de37027a1f47,983.6000001430511,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,500,500,A,False,invalid,talls_122_127,wides_025_023,wide,wide_013,wide_010,B,tower-zipping,25,441608,0.0-25.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,incompatible,talls_122_127.png,2.0,False
5,5,61678fe99075de37027a1f48,1883.1000001430511,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,500,500,A,True,invalid,talls_122_127,wides_025_023,tall,tall_100,tall_118,A,tower-zipping,26,445360,0.0-26.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,compatible,talls_122_127.png,2.0,False
6,6,61678fec9075de37027a1f49,1760.0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,500,500,A,False,valid,talls_100_118,wides_013_010,wide,wide_013,wide_010,none,tower-zipping,27,448928,0.0-27.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,novel,talls_100_118.png,2.0,False
7,7,61678ff09075de37027a1f4a,1883.3999998569489,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,500,500,A,False,invalid,talls_102_126,wides_024_011,tall,tall_100,tall_118,B,tower-zipping,28,452685,0.0-28.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,incompatible,talls_102_126.png,2.0,False
8,8,61678ff49075de37027a1f4b,1508.6000001430511,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,500,500,A,False,valid,talls_102_126,wides_024_011,tall,tall_102,tall_126,B,tower-zipping,29,456056,0.0-29.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,incompatible,talls_102_126.png,2.0,False
9,9,61678ff79075de37027a1f4c,1309.8999998569489,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,500,500,A,True,invalid,talls_102_126,wides_024_011,wide,wide_013,wide_010,A,tower-zipping,30,459178,0.0-30.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,compatible,talls_102_126.png,2.0,False
